Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
,,,,H2-M5
,,,,Col11a1
,,,,Slc24a6
,,,,Sh3kbp1
,,,,Ubash3b
,,,,Rab27a
,,,,Rasd1
,,,,BC030500
,,,,Pkn3
,,,,Gpr27
,,,,Mmp16
,,,,Fosl2
,,,,Fbxl7
,,,,Zfp697
,,,,Slc39a8
,,,,Tspyl5
,,,,Adamtsl1
,,,,Gcnt1
,,,,Ddit4l
,,,,Lrrtm4
,,,,Lnx1
,,,,Ppp1r14a
,,,,Acp5
,,,,Zfp319
,,,,Gm514
,,,,Plce1
,,,,Fgfr3
,,,,Pdzrn4
,,,,Mfap3l
,,,,Adamts7
,,,,Galntl4
,,,,Abcg1
,,,,Htatip2
,,,,Plekhf1
,,,,Mup6
,,,,Stil
,,,,2810408A11Rik
,,,,4930579G24Rik
,,,,Fam178b
,,,,2210016F16Rik
,,,,Ptpn14
,,,,Fgf1
,,,,AC151908.1
,,,,Tmem200a
,,,,Adamts15
,,,,Dpp4
,,,,Thsd7b
,,,,Coch
,,,,Tbc1d12
,,,,Atp10a
,,,,Cchcr1
,,,,Sorcs3
,,,,Clca1
,,,,Wnt5a
,,,,2010317E24Rik
,,,,2610018G03Rik
,,,,Mpzl2
,,,,Kcnk2
,,,,Galntl6
,,,,Ophn1
,,,,Sap25
,,,,Mpped1
,,,,Habp2
,,,,Bmp2
,,,,Dll3
,,,,Xrcc3
,,,,Tnfaip8
,,,,Ahnak
,,,,CN725425
,,,,Sorbs3
,,,,Lrrc34
,,,,E2f2
,,,,Cnih3
,,,,Iqsec2
,,,,Gm447
,,,,Dusp18
,,,,Ddx3y
,,,,Soat2
,,,,Gpat2
,,,,Il17rd
,,,,Rsph1
,,,,Tmtc2
,,,,Lrrc17
,,,,Nrtn
,,,,Eml6
,,,,Nrg1
,,,,Amhr2
,,,,Abcd2
,,,,Pcdhb5
,,,,Nmb
,,,,Ppp1r12b
,,,,Bcl6
,,,,Gmip
,,,,Tgfb2
,,,,Nt5dc1
,,,,Cxcl12
,,,,Ppil5
,,,,Zc3h12c
,,,,Serpina10
,,,,Rimbp2
,,,,St8sia5
,,,,Palb2
,,,,Ttc39a
,,,,Tnk1
,,,,Rgs6
,,,,Hcn4
,,,,Col25a1
,,,,Agtr2
,,,,Rtkn2
,,,,Adm2
,,,,Nr3c2
,,,,AC156990.1
,,,,Six5
,,,,2410012M07Rik
,,,,Lin9
,,,,Pctp
,,,,Sigirr
,,,,Bmf
,,,,Ddc
,,,,Ell3
,,,,Slco2a1
,,,,Prr18
,,,,Gstt1
,,,,Rell1
,,,,Tmem132c
,,,,Plaur
,,,,Sh2d5
,,,,Mrgpre
,,,,Qprt
,,,,Lrrtm2
,,,,Lgi1
,,,,Phox2a
,,,,Ccl11
,,,,Islr
,,,,Nppc
,,,,Gucy1a2
,,,,Nol3
,,,,Caskin2
,,,,Grm3
,,,,4930547N16Rik
,,,,Pcdhb3
,,,,B3galt5
,,,,Ninl
,,,,Dram1
,,,,Nhsl1
,,,,Fzd5
,,,,Stc1
,,,,Lyrm1
,,,,Zfp804a
,,,,Sobp
,,,,Gm12588
,,,,Kifc5b
,,,,Syt12
,,,,Aldh1l2
,,,,Rasgef1b
,,,,Zfp185
,,,,Plekhh1
,,,,Ccdc14
,,,,Trank1
,,,,Zfp934
,,,,Psma8
,,,,Taf4b
,,,,Lcp1
,,,,St6galnac5
,,,,Stk36
,,,,Irx5
,,,,Galnt6
,,,,Cmpk2
,,,,Gulp1
,,,,Steap3
,,,,Jag1
,,,,Smpdl3b
,,,,Mdga2
,,,,Mppe1
,,,,Nav3
,,,,Aifm3
,,,,Osbpl5
,,,,Odz1
,,,,Susd2
,,,,Tmem53
,,,,Ptprz1
,,,,2610034B18Rik
,,,,Ripk3
,,,,E2f7
,,,,2610528J11Rik
,,,,Antxr1
,,,,Gstm3
,,,,Lmo3
,,,,Sphkap
,,,,Kank1
,,,,Mcm8
,,,,Krt17
,,,,Serhl
,,,,Sfxn4
,,,,Vrk2
,,,,Gm12258
,,,,Dbx1
,,,,Derl3
,,,,C2cd2
,,,,Erbb4
,,,,B3galt2
,,,,Gngt2
,,,,Ndufa4l2
,,,,Hs3st4
,,,,Rbm43
,,,,C330019L16Rik
,,,,Mastl
,,,,Osbp2
,,,,Rftn1
,,,,Ptprr
,,,,Slc5a3
,,,,Kctd21
,,,,A730017C20Rik
,,,,Prkca
,,,,Stat6
,,,,Arhgap29
,,,,Clgn
,,,,Grid2
,,,,Snx33
,,,,Lad1
,,,,Lypd6
,,,,Ets1
,,,,Cpne8
,,,,Epha7
,,,,Lpar2
,,,,Emid1
,,,,Gprc5a
,,,,Klc3
,,,,Gchfr
,,,,Ctxn2
,,,,Enpep
,,,,Pcdhb9
,,,,Cacna1h
,,,,Thbs3
,,,,Klf15
,,,,Hcn1
,,,,Foxo1
,,,,Dhdh
,,,,Slitrk3
